NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
NOVA OLINDA;ESCOLA ESTADUAL DR HELIO DE SOUSA BUENO;RUA PRESIDENTE COSTA E SILVA, 1486;CENTRO;77790000;-7.6354867;-48.4209033
PALMAS;COLEGIO MILITAR DO ESTADO DO TOCANTINS - SENADOR ANTONIO LUIZ MAYA;206 NORTE (AENE 23), AV. LO-04, LOTE 02;CENTRO;77000000;-10.1770014;-48.3172223
ARAGUAÍNA;COLEGIO ESTADUAL ADOLFO BEZERRA DE MENEZES;RUA GONCALVES LEDO, S/N;SÃO JOÃO;77803130;-7.1913029;-48.1943482
ARRAIAS;ESCOLA ESTADUAL PROFESSORA ZULMIRA MAGALHAES;RUA DO CAMPO, S/N, DISTRITO CANABRAVA, ZONA RURAL, ARRAIAS;ZONA RURAL;77330000;-12.8467489;-46.8083363
ARAGUAÍNA;ESCOLA MUNICIPAL FRANCISCO BUENO DE FREITAS;RUA PERDIZ, 195;SETOR MARACANÃ;77825450;-7.15663;-48.1939052
PARANÃ;COLÉGIO ESTADUAL FLORESTA;RODOVIA PARANÃ/SÃO SALVADOR KM 5, À ESQ. KM 70;POVOADO CAMPO ALEGRE;77360000;-13.1158371;-47.7666817
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL OLGA BENÁRIO;603 SUL(ARSO 61) ALAMEDA 02 APM-10;PLANO DIRETOR SUL;77016358;-10.2187642;-48.3423617
PORTO NACIONAL;ESCOLA EST. MAL. ARTUR DA COSTA E SILVA;AV SÃO PAULO, N. 2259;JARDIM QUERIDO;77500000;-10.7053997;-48.3988149
SANTA TEREZINHA DO TOCANTINS;ESCOLA ESTADUAL DR. JOSE FELICIANO FERREIRA;RUA PRINCIPAL, S/N;CENTRO;77885000;-6.4356302;-47.6733024
ARAGUACEMA;ESCOLA MUNICIPAL  SANTA CLARA;ASSENTAMENTO SANTA CLARA;ZONA RURAL;77690000;-9.1723417;-49.6327167
PORTO NACIONAL;ESCOLA EST FELIX CAMOA I;AVENIDA TOCANTINS, S/N;VILA NOVA;77500000;-10.6940599;-48.4096786
GURUPI;UNIVERSIDADE DE GURUPI - UNIRG;AV.RIO DE JANEIRO, N.1585;CENTRO;77403090;-11.72453629;-49.07651313
DIANÓPOLIS;ESCOLA MUNICIPAL SÃO JOSÉ;RUA COQUELIM AIRES, S/N;CENTRO;77300000;-11.6255316;-46.8182726
ARAGUANÃ;CMEI - CENTRO MUNICIPAL DE EDUC. INFANTIL MARIA DE NAZARÉ SILVA COSTA;RUA DO CAMPO, QD. 21, LOTES 05;CENTRO;77855000;-6.5797461;-48.6426506
TOCANTINÓPOLIS;ESCOLA ESTADUAL XV DE NOVEMBRO;RUA 15 DE NOVEMBRO, S/N;CENTRO;77900000;-6.3289745;-47.4164775
COLINAS DO TOCANTINS;COLÉGIO ALBERT EINSTEIN;RUA RAUL DO ESPÍRITO SANTO, 1074, CENTRO;CENTRO;77760000;-8.058256;-48.4812291
DIANÓPOLIS;ESCOLA ESTADUAL JOCA COSTA;RUA DA CONCEIÇÃO;CAVALCANTE;77300000;-11.6160071;-46.8287365
WANDERLÂNDIA;COLEGIO ESTADUAL JOSE LUIZ SIQUEIRA;PRACA DOS ESTUDANTES,;CENTRO;77860000;-6.8461549;-47.9674309
FORMOSO DO ARAGUAIA;COOPERATIVA DE EDUCADORES DE FORMOSO DO ARAGUAIA;AV. JK,  S/N.;CENTRO;77470000;-11.7999117;-49.5315733
ESPERANTINA;ESCOLA MUNICIPAL NOVA UNIAO;RUA IMPERATRIZ, S/N;CENTRO;77993000;-5.363035;-48.5364117
PORTO NACIONAL;ESCOLA ESTADUAL IRMA ASPASIA;PRACA DAS MAES, 855;CENTRO;77500000;-10.7021189;-48.410831
DARCINÓPOLIS;COLEGIO ESTADUAL JOSE DE SOUSA PORTO;RUA 1 DE MAIO, SN;CENTRO;77860000;-6.7105688;-47.7503043
